id,author,journal,year,citations,architecture,augmentation,epochs,learning_rate,Classification level,num_class,num_img,accuracy,precision,recall,map,f1,curation
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,ALEXNET,NO,,,COUNT,48,1400000,58.9,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,NIN,NO,,,COUNT,48,1400000,59.4,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,VGG,NO,,,COUNT,48,1400000,60.1,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,GOOGLENET,NO,,,COUNT,48,1400000,60.8,,,,,YES
1,Norozzadeh et al,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,763,RESNET,NO,,,COUNT,48,1400000,60.6,,,,,YES
2,Schneider et al,ECOLOGY AND EVOLUTION,2020,123,DENSENET,YES,500,,SPECIES,55,44859,68.7,,0.793,,0.698,YES
2,Schneider et al,ECOLOGY AND EVOLUTION,2020,123,RESNET,YES,500,,SPECIES,55,44859,63.5,,0.602,,0.654,YES
2,Schneider et al,ECOLOGY AND EVOLUTION,2020,123,INCEPTION,YES,500,,SPECIES,55,44859,65.1,,0.712,,0.655,YES
2,Schneider et al,ECOLOGY AND EVOLUTION,2020,123,MOBILENET,YES,500,,SPECIES,55,44859,64.3,,0.69,,0.653,YES
2,Schneider et al,ECOLOGY AND EVOLUTION,2020,123,XCEPTION,YES,500,,SPECIES,55,44859,68.5,,0.727,,0.646,YES
2,Schneider et al,ECOLOGY AND EVOLUTION,2020,123,NASNETMOBILE,YES,500,,SPECIES,55,44859,63.7,,0.692,,0.678,YES
3,Eikelboom et al,METHODS IN ECOLOGY AND EVOLUTION,2019,113,RETINANET,NO,36,,COUNT,3,393,,,,0.77,,YES
4,Miao et al,SCIENTIFIC REPORTS,2019,96,VGG,NO,,,SPECIES,20,111467,87.5,,,,,YES
5,Spiesman et al,SCIENTIFIC REPORTS,2021,75,RESNET,YES,150,0.01,SPECIES,36,89776,91.5,0.879,0.853,,,YES
5,Spiesman et al,SCIENTIFIC REPORTS,2021,75,INCEPTION,YES,150,0.01,SPECIES,36,89776,91.6,0.888,0.852,,,YES
5,Spiesman et al,SCIENTIFIC REPORTS,2021,75,MNASNET,YES,150,0.1,SPECIES,36,89776,85.8,0.825,0.769,,,YES
6,Bogucki et al,CONSERVATION BIOLOGY,2019,69,CUSTOM,YES,,,INDIVIDUAL,447,4544,87.4,,,,,NO
7,Clapham et al,ECOLOGY AND EVOLUTION,2020,65,FACENET,YES,,,INDIVIDUAL,264,3739,83.9,,,0.977,,YES
8,Chen et al,ECOLOGY AND EVOLUTION,2020,63,RESNET,YES,,,DETECTION,2,5854,100,,,,,YES
8,Chen et al,ECOLOGY AND EVOLUTION,2020,63,RESNET,YES,,,INDIVIDUAL,218,5854,96.3,,,,,YES
9,Tabak et al,ECOLOGY AND EVOLUTION,2020,53,RESNET,NO,55,0.01,DETECTION,2,268200,97.3,,,,,NO
9,Tabak et al,ECOLOGY AND EVOLUTION,2020,53,RESNET,NO,55,0.01,SPECIES,59,268200,96.8,,,,,NO
9,Tabak et al,ECOLOGY AND EVOLUTION,2020,53,DENSENET,NO,55,0.01,SPECIES,59,268200,95.9,,,,,NO
9,Tabak et al,ECOLOGY AND EVOLUTION,2020,53,VGG,NO,55,0.01,SPECIES,59,268200,88.6,,,,,NO
9,Tabak et al,ECOLOGY AND EVOLUTION,2020,53,GOOGLENET,NO,55,0.01,SPECIES,59,268200,88.1,,,,,NO
9,Tabak et al,ECOLOGY AND EVOLUTION,2020,53,ALEXNET,NO,55,0.01,SPECIES,59,268200,85.4,,,,,NO
9,Tabak et al,ECOLOGY AND EVOLUTION,2020,53,NIN,NO,55,0.01,SPECIES,59,268200,84.3,,,,,NO
10,Tan et al,ANIMALS,2022,48,RESNET,NO,35,0.002,SPECIES,17,20525,88.8,0.966,0.887,0.816,,YES
10,Tan et al,ANIMALS,2022,48,RCNN,NO,30,0.01,SPECIES,17,20525,86.3,0.809,0.986,0.84,,YES
10,Tan et al,ANIMALS,2022,48,YOLO,NO,80,0.01,SPECIES,17,20525,91.6,0.984,0.974,0.872,,YES
11,Falzon et al,ANIMALS,2020,48,YOLO,NO,9187,0.0001,SPECIES,9,7200,98.6,,,,,YES
11,Falzon et al,ANIMALS,2020,48,YOLO,NO,9820,0.0001,SPECIES,9,7200,98.7,,,,,YES
11,Falzon et al,ANIMALS,2020,48,YOLO,NO,9187,0.0001,SPECIES,9,6642,95.9,,,,,YES
11,Falzon et al,ANIMALS,2020,48,YOLO,NO,9820,0.0001,SPECIES,9,7749,98,,,,,YES
11,Falzon et al,ANIMALS,2020,48,YOLO,NO,9187,0.0001,SPECIES,9,6642,96.8,,,,,YES
11,Falzon et al,ANIMALS,2020,48,YOLO,NO,9820,0.0001,SPECIES,9,7749,98.5,,,,,YES
11,Falzon et al,ANIMALS,2020,48,YOLO,NO,9187,0.0001,SPECIES,11,14000,99.1,,,,,YES
11,Falzon et al,ANIMALS,2020,48,YOLO,NO,9187,0.0001,SPECIES,7,4455,97.9,,,,,YES
12,French et al,ICES JOURNAL OF MARINE SCIENCE,2020,43,RCNN,YES,350,0.0001,SPECIES,9,1546,47.17,,,,,NO
13,Blount et al,MAMMALIAN BIOLOGY,2022,42,WBIA,NO,,,SPECIES,28,5784,94.28,,,0.817,,YES
14,Torney et al,PLOS ONE,2016,33,CUSTOM,NO,,,COUNT,1,6000,,0.742,0.858,,,YES
15,Cisar et al,SCIENTIFIC REPORTS,2021,31,CUSTOM,YES,,,INDIVIDUAL,328,713,100,,,,,YES
16,Allken et al,ICES JOURNAL OF MARINE SCIENCE,2021,29,RETINANET,YES,50,0.00001,SPECIES,4,343,,,,0.845,0.47,YES
17,Zhou et al,SENSORS,2021,29,RESNET,YES,25,0.0001,SPECIES,4,40,93.54,,,,,YES
17,Zhou et al,SENSORS,2021,29,CUSTOM,YES,1000,0.0001,SPECIES,4,40,72.62,,,,,YES
18,Islam et al,ANIMALS,2023,27,RESNET,YES,100,0.0001,SPECIES,4,5000,83,,,,,YES
18,Islam et al,ANIMALS,2023,27,VGG,YES,100,0.0001,SPECIES,4,5000,85,,,,,YES
18,Islam et al,ANIMALS,2023,27,CUSTOM,YES,100,0.01,SPECIES,4,5000,72,,,,,YES
19,Connolly et al,FRONTIERS IN MARINE SCIENCE,2021,27,,,,,,,,,,,,,
20,Olatora et al,NEW BIOTECHNOLOGY,2023,25,,,,,,,,,,,,,
21,Delphanque et al,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,2023,22,,,,,,,,,,,,,
22,Lekunberri et al,ECOLOGICAL INFORMATICS,2022,22,,,,,,,,,,,,,
23,Kulkarni et al,BIOLOGICAL CONSERVATION,2023,20,,,,,,,,,,,,,
24,Clapham et al,MAMMALIAN BIOLOGY,2022,19,,,,,,,,,,,,,
25,Ibraheam et al,AI,2021,19,,,,,,,,,,,,,
26,Blair et al,ECOLOGY AND EVOLUTION,2020,19,,,,,,,,,,,,,
27,Song et al,ECOLOGICAL INFORMATICS,2024,17,,,,,,,,,,,,,
28,Khan et al,MAMMALIAN BIOLOGY,2022,17,,,,,,,,,,,,,
29,Patton et al,METHODS IN ECOLOGY AND EVOLUTION,2023,16,,,,,,,,,,,,,
30,Fergus et al,CONSERVATION,2024,13,,,,,,,,,,,,,
31,Ukwuoma et al,SCIENTIFIC AFRICAN,2022,12,,,,,,,,,,,,,
32,Su et al,REMOTE SENSING,2024,11,,,,,,,,,,,,,
33,Li et al,SENSORS,2023,11,,,,,,,,,,,,,
34,Shedrawi et al,SCIENTIFIC REPORTS,2024,8,,,,,,,,,,,,,
35,Li et al,ECOLOGICAL INFORMATICS,2024,8,,,,,,,,,,,,,
36,Mou et al,ANIMALS,2023,8,,,,,,,,,,,,,
37,Zhang et al,COMPLEXITY,2021,7,,,,,,,,,,,,,
38,Zhang & Zhang,ANIMALS,2023,6,,,,,,,,,,,,,
39,Atlas et al,FRONTIERS IN MARINE SCIENCE,2023,6,,,,,,,,,,,,,
40,Wang et al,COMPUTERS AND ELECTRONICS IN AGRICULTURE,2023,6,,,,,,,,,,,,,
41,Wu et al,FRONTIERS IN MARINE SCIENCE,2023,6,,,,,,,,,,,,,
42,Avtar et al,REMOTE SENSING,2024,5,,,,,,,,,,,,,
43,Schneider et al,IET COMPUTER VISION,2024,5,,,,,,,,,,,,,
44,Lu et al,ELECTRONICS,2023,5,,,,,,,,,,,,,
45,Perrett et al,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,2023,5,,,,,,,,,,,,,
46,Sharma et al,ELECTRONICS,2024,4,,,,,,,,,,,,,
47,Yang et al,APPLIED SCIENCES-BASEL,2024,4,,,,,,,,,,,,,
48,Parkavi et al,IEEE ACCESS,2025,3,,,,,,,,,,,,,
49,Jeantet et al,JOURNAL OF EXPERIMENTAL BIOLOGY,2024,3,,,,,,,,,,,,,
50,Gao et al,MEASUREMENT SCIENCE AND TECHNOLOGY,2024,3,,,,,,,,,,,,,
51,Gavali & Banu,TRAITEMENT DU SIGNAL,2024,3,,,,,,,,,,,,,
52,Li et al,ECOLOGICAL INFORMATICS,2025,2,,,,,,,,,,,,,
53,Kim et al,SCIENTIFIC REPORTS,2025,2,,,,,,,,,,,,,
54,Sharma et al,Journal of Artificial Intelligence and Capsule Networks,2024,2,,,,,,,,,,,,,
55,Mccarthy et al,ENVIRONMENTAL RESEARCH COMMUNICATIONS,2024,2,,,,,,,,,,,,,
56,Guan et al,GLOBAL ECOLOGY AND CONSERVATION,2023,2,,,,,,,,,,,,,
57,Brook et al,PEER COMMUNITY JOURNAL,2025,1,,,,,,,,,,,,,
58,Neupane et al,SCIENTIFIC REPORTS,2024,1,,,,,,,,,,,,,
59,Kabuga et al,ECOSPHERE,2024,1,,,,,,,,,,,,,
60,Hogstedt et al,AQUACULTURE,2025,1,,,,,,,,,,,,,
61,Levy et al,ECOLOGICAL INFORMATICS,2024,1,,,,,,,,,,,,,
62,Chen et al,PATTERN RECOGNITION,2024,1,,,,,,,,,,,,,
63,Zhang et al,PATTERN RECOGNITION,2026,0,,,,,,,,,,,,,
64,Das et al,ECOLOGICAL INFORMATICS,2025,0,,,,,,,,,,,,,
65,Marquez-Rodriguez et al,ECOLOGICAL INFORMATICS,2025,0,,,,,,,,,,,,,
66,Wang et al,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,2025,0,,,,,,,,,,,,,
67,Rodriguez-Juan et al,SCIENTIFIC DATA,2025,0,,,,,,,,,,,,,
68,Biazus et al,ACTA SCIENTIARUM-TECHNOLOGY,2025,0,,,,,,,,,,,,,
69,Teigen et al,IEEE ACCESS,2025,0,,,,,,,,,,,,,
70,Kambali et al,INTI Journal,2024,0,,,,,,,,,,,,,
71,Sharma et al,Materials Methods & Technologies,2023,0,,,,,,,,,,,,,
